"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.684,0.724,0.677,0.65,0.712,0.748,0.699
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.684,0.724,0.677,0.649,0.712,0.748,0.699
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.683,0.724,0.677,0.649,0.711,0.748,0.698
"Jaccard_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.683,0.73,0.674,0.644,0.712,0.75,0.698
"Jaccard_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.699,0.736,0.655,0.626,0.729,0.743,0.698
"Jaccard_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.none_ner.none",0.73,0.754,0.695,0.664,0.682,0.662,0.698
"OverlapCoefficient_tok.whitespace_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.758,0.777,0.686,0.558,0.714,0.707,0.698
"Jaccard_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.699,0.737,0.655,0.626,0.728,0.743,0.698
"Jaccard_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.699,0.736,0.656,0.627,0.727,0.743,0.698
"Jaccard_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.699,0.734,0.654,0.625,0.727,0.745,0.697
"Jaccard_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.718,0.764,0.688,0.674,0.648,0.692,0.697
"Jaccard_tok.whitespace_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.675,0.717,0.67,0.643,0.729,0.743,0.696
"BlockDistance_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.694,0.744,0.668,0.664,0.7,0.701,0.695
